ID,Name,Lat,Long
100,Alice Griffith - Fitzgerald Avenue (1069),37.71980046,-122.3894068
101,Alice Griffith - Cameron Way (1),37.7202657,-122.3858377
102,Alice Griffith - Cameron Way (211),37.72013296,-122.3891063
103,Alice Griffith - Griffith Street (2400),37.71992717,-122.3859518
104,Alice Griffith - Griffith Street (2536),37.71912109,-122.3874076
105,Alice Griffith - Double Rock Street (1),37.72043754,-122.3874113
106,Alice Griffith - Double Rock Street (114),37.72086178,-122.3876776
107,Alice Griffith - Nichols Way (1),37.72057127,-122.3863438
108,Alice Griffith - Nichols Way (85),37.71995413,-122.3884398
109,Ping Yuen North - Pacific Avenue (822),37.79694034,-122.4088106
110,Ping Yuen North - Pacific Avenue (856),37.79687221,-122.4093068
111,990 Pacific - Pacific Avenue (990),37.79680367,-122.4114955
112,Bush Street (1760),37.7883796,-122.4263183
113,Pine Street (1880),37.7892196,-122.4265009
114,Rosa Park Apt. - Turk Street (1251),37.78089981,-122.4295475
115,San Jules - Eddy Street (1357),37.7817908,-122.4299073
116,San Jules - Eddy Street (1371),37.78178127,-122.4301426
117,Woodside Gardens - Woodside Avenue (255),37.7468615,-122.4551747
118,Mission Dolores - 15th street (1855),37.76628328,-122.4256362
119,Noe Street (363),37.76344454,-122.4326075
120,Ellis Street (350),37.78536894,-122.412126
121,Ellis Street (666 ),37.78474061,-122.4172283
122,18th Street (3850),37.76177111,-122.429569
123,Lundys Lane (101),37.74385283,-122.4188105
124,Lundys Lane (103),37.74371967,-122.4189293
125,Coleridge (75),37.74476059,-122.4189813
126,Coleridge (77),37.74476001,-122.4189772
127,Clementina Street (320),37.78226333,-122.4025365
128,Clementina Street (330),37.78240228,-122.4023206
129,John F Kennedy - Sacramento Street (2451),37.78988157,-122.433089
130,California Street (2698),37.78860418,-122.4385537
131,McAllister Street (1750),37.77795762,-122.4409197
132,Randolph & Head - Randolph Street (200),37.71456781,-122.4648029
133,Randolph & Head - Head Street (409),37.71479011,-122.464679
134,Noriega - Noriega Street (4101),37.75285142,-122.5078235
135,Thrift Street (275),37.71755194,-122.4615432
136,Sanchez Street (25),37.76905263,-122.4311165
137,31st Avenue (491),37.78031717,-122.4914324
138,Arguello Boulevard (345),37.78436003,-122.4594957
139,Duboce - Duboce Avenue (462),37.77009369,-122.4306263
140,Eddy St. (939),37.78250957,-122.4231342
141,Eddy St. (951) ,37.78243087,-122.4232594
142,Turk Street (430),37.78270261,-122.4165439
143,Robert B. Pits - Scott Street (1100),37.78023785,-122.4370047
144,Robert B. Pits - Scott Street (1198),37.78075054,-122.4370571
145,Robert B. Pits - Pierce Street (1111),37.7804694,-122.4356444
146,Robert B. Pits - Pierce Street (1185),37.78098799,-122.4357994
147,Robert B. Pits - Turk Street (1620),37.78027161,-122.4357063
148,Robert B. Pits - Turk Street (1780),37.77999227,-122.4381977
149,Robert B. Pits - Eddy Street (1717),37.77970103,-122.4374973
150,Robert B. Pits - Eddy Street (1875),37.78060053,-122.4382307
151,Turk Street (440),37.78268719,-122.4165481
152,Egbert Avenue (1815),37.72663207,-122.3989747
153,North Beach - Bay Street (401),37.80571892,-122.4137058
154,North Beach - Bay Street (417),37.80556654,-122.414093
155,North Beach - Bay Street (431),37.80567975,-122.414212
156,North Beach - Bay Street (491),37.80545658,-122.415023
157,North Beach - Bay Street (501),37.80547062,-122.4154577
158,North Beach - Bay Street (575),37.80537503,-122.4163989
159,North Beach - Columbus Avenue (1150),37.80492213,-122.4162681
160,North Beach - Francisco Street (500),37.80509636,-122.4137086
161,North Beach - Francisco Street (530),37.80493306,-122.4141967
162,North Beach - Francisco Street (560),37.80475607,-122.4144087
163,North Beach - Francisco Street (590),37.80472763,-122.4148349
164,North Beach - Francisco Street (600),37.80507652,-122.4152971
165,North Beach - Francisco Street (650),37.80473851,-122.4157482
166,YERBA BUENA PLAZA EAST - Buchanan street (1360),37.78243139,-122.4289787
167,YERBA BUENA PLAZA EAST - Eddy Street (1294),37.78151283,-122.4321315
168,HAYES VALLEY NORTH - Buchanan Street (665),37.77632494,-122.4281054
169,HAYES VALLEY NORTH - Buchanan Street (685),37.77638402,-122.4279958
170,HAYES VALLEY NORTH - Fell Street (640),37.77552367,-122.428614
171,HAYES VALLEY NORTH - Fell Street (698),37.77532573,-122.4293874
172,HAYES VALLEY NORTH - Hayes Street (701),37.77644904,-122.4279245
173,HAYES VALLEY NORTH - Fell Street (795),37.77498529,-122.4307318
174,HAYES VALLEY SOUTH - Buchanan Street (301),37.77278881,-122.4273483
175,HAYES VALLEY SOUTH - Buchanan Street (385),37.77351697,-122.4275532
176,HAYES VALLEY SOUTH - Haight Street (310),37.77274663,-122.427336
177,HAYES VALLEY SOUTH - Haight Street (390),37.77252021,-122.4286079
178,HAYES VALLEY SOUTH - Page Street (4401),37.7723524,-122.4378735
179,HAYES VALLEY SOUTH - Page Street (495),37.77311041,-122.4279688
